Timer,K_decision,Rejection_Threshold,Final_Error,Converged
6,7,11,1557.3960851524712,False
6,7,12,1557.3960851524712,False
6,7,13,1557.3960851524712,False
6,7,14,1557.3960851524712,False
6,8,5,1557.3960851524712,False
6,8,6,1557.3960851524712,False
6,8,7,1557.3960851524712,False
6,8,8,1557.3960851524712,False
6,8,9,1557.3960851524712,False
6,8,10,1557.3960851524712,False
6,8,11,1557.3960851524712,False
6,8,12,1557.3960851524712,False
6,8,13,1557.3960851524712,False
6,8,14,1557.3960851524712,False
6,9,5,1557.3960851524712,False
6,9,6,1557.3960851524712,False
6,9,7,1557.3960851524712,False
6,9,8,1557.3960851524712,False
6,9,9,1557.3960851524712,False
6,9,10,1557.3960851524712,False
6,9,11,1557.3960851524712,False
6,9,12,1557.3960851524712,False
6,9,13,1557.3960851524712,False
6,9,14,1557.3960851524712,False
6,10,5,1557.3960851524712,False
6,10,6,1557.3960851524712,False
6,10,7,1557.3960851524712,False
6,10,8,1557.3960851524712,False
6,10,9,1557.3960851524712,False
6,10,10,1557.3960851524712,False
6,10,11,1557.3960851524712,False
6,10,12,1557.3960851524712,False
6,10,13,1557.3960851524712,False
6,10,14,1557.3960851524712,False
7,1,5,8158.348748485371,False
7,1,6,8285.58699016977,False
7,1,7,8248.449705393321,False
7,1,8,5016.411299846999,False
7,1,9,8239.731914312513,False
7,1,10,5059.655116789358,False
7,1,11,4861.249555460826,False
7,1,12,6351.665332675032,False
7,1,13,4651.6665819026475,False
7,1,14,5064.127920476519,False
7,2,5,1947.8960096957069,False
7,2,6,2331.95156241058,False
7,2,7,2138.2522105344756,False
7,2,8,1723.546927452202,False
7,2,9,1676.7505562470926,False
7,2,10,1825.9687080496378,False
7,2,11,1940.70386533341,False
7,2,12,1741.3165085671908,False
7,2,13,1613.3224452019651,False
7,2,14,1691.886518307882,False
7,3,5,7939.485887933461,False
7,3,6,2735.2294597685304,False
7,3,7,3933.784631205042,False
7,3,8,2973.159524376255,False
7,3,9,2880.4947095983325,False
7,3,10,3983.8523296848284,False
7,3,11,6617.679254551048,False
7,3,12,4343.764882631987,False
7,3,13,3954.5977379664178,False
7,3,14,2832.714821919717,False
7,4,5,1686.1924773037542,False
7,4,6,2128.7612879397325,False
7,4,7,1946.2610805097524,False
7,4,8,1714.4086716315471,False
7,4,9,1601.61181714746,False
7,4,10,1616.9185354207445,False
7,4,11,1915.3983344522696,False
7,4,12,1715.4900779064023,False
7,4,13,1868.3328782411195,False
7,4,14,1557.3960851524712,False
7,5,5,1682.8268847449344,False
7,5,6,1732.9928786355733,False
7,5,7,1739.1331998146863,False
7,5,8,2178.638174049653,False
7,5,9,1739.4909299888648,False
7,5,10,1698.080174009592,False
7,5,11,1955.2396821162677,False
7,5,12,1656.996728257602,False
7,5,13,1698.032227168797,False
7,5,14,1557.3960851524712,False
7,6,5,1557.3960851524712,False
7,6,6,1557.3960851524712,False
7,6,7,1557.3960851524712,False
7,6,8,1557.3960851524712,False
7,6,9,1557.3960851524712,False
7,6,10,1557.3960851524712,False
7,6,11,1557.3960851524712,False
7,6,12,1557.3960851524712,False
7,6,13,1557.3960851524712,False
7,6,14,1557.3960851524712,False
7,7,5,1557.3960851524712,False
7,7,6,1557.3960851524712,False
7,7,7,1557.3960851524712,False
7,7,8,1557.3960851524712,False
7,7,9,1557.3960851524712,False
7,7,10,1557.3960851524712,False
7,7,11,1557.3960851524712,False
7,7,12,1557.3960851524712,False
7,7,13,1557.3960851524712,False
7,7,14,1557.3960851524712,False
7,8,5,1557.3960851524712,False
7,8,6,1557.3960851524712,False
7,8,7,1557.3960851524712,False
7,8,8,1557.3960851524712,False
7,8,9,1557.3960851524712,False
7,8,10,1557.3960851524712,False
7,8,11,1557.3960851524712,False
7,8,12,1557.3960851524712,False
7,8,13,1557.3960851524712,False
7,8,14,1557.3960851524712,False
7,9,5,1557.3960851524712,False
7,9,6,1557.3960851524712,False
7,9,7,1557.3960851524712,False
7,9,8,1557.3960851524712,False
7,9,9,1557.3960851524712,False
7,9,10,1557.3960851524712,False
7,9,11,1557.3960851524712,False
7,9,12,1557.3960851524712,False
7,9,13,1557.3960851524712,False
7,9,14,1557.3960851524712,False
7,10,5,1557.3960851524712,False
7,10,6,1557.3960851524712,False
7,10,7,1557.3960851524712,False
7,10,8,1557.3960851524712,False
7,10,9,1557.3960851524712,False
7,10,10,1557.3960851524712,False
7,10,11,1557.3960851524712,False
7,10,12,1557.3960851524712,False
7,10,13,1557.3960851524712,False
7,10,14,1557.3960851524712,False
8,1,5,4473.4622723990815,False
8,1,6,4497.55743545591,False
8,1,7,4495.08240921333,False
8,1,8,4518.452240228203,False
8,1,9,4527.293651268604,False
8,1,10,3393.094034168291,False
8,1,11,2830.7973454711905,False
8,1,12,3396.297931213697,False
8,1,13,2806.541628858021,False
8,1,14,2433.3467103547955,False
8,2,5,2664.83979981877,False
8,2,6,2378.731516133769,False
8,2,7,2881.1630995743812,False
8,2,8,1987.5795802526293,False
8,2,9,1823.4337944662561,False
8,2,10,2101.8114721329466,False
8,2,11,2397.304466761017,False
8,2,12,1888.1602393935154,False
8,2,13,1782.3339533143453,False
8,2,14,1965.4083509924283,False
8,3,5,3278.6751039570204,False
8,3,6,2012.120968398258,False
8,3,7,3160.7686714439415,False
8,3,8,2095.3666085200043,False
8,3,9,3285.23900224549,False
8,3,10,3507.324595466575,False
8,3,11,2518.9462001808315,False
8,3,12,2022.5791942563435,False
8,3,13,2878.855318423651,False
8,3,14,2184.0401794925656,False
8,4,5,1562.894625031992,False
8,4,6,1578.172866951887,False
8,4,7,1557.3960851524712,False
8,4,8,1557.3960851524712,False
8,4,9,1557.3960851524712,False
8,4,10,1557.3960851524712,False
8,4,11,1557.3960851524712,False
8,4,12,1557.3960851524712,False
8,4,13,1557.3960851524712,False
8,4,14,1557.3960851524712,False
8,5,5,1558.9193078592336,False
8,5,6,1558.9623777035308,False
8,5,7,1557.3960851524712,False
8,5,8,1557.3960851524712,False
8,5,9,1557.3960851524712,False
8,5,10,1557.3960851524712,False
8,5,11,1557.3960851524712,False
8,5,12,1557.3960851524712,False
8,5,13,1557.3960851524712,False
8,5,14,1557.3960851524712,False
8,6,5,1557.3960851524712,False
8,6,6,1557.3960851524712,False
8,6,7,1557.3960851524712,False
8,6,8,1557.3960851524712,False
8,6,9,1557.3960851524712,False
8,6,10,1557.3960851524712,False
8,6,11,1557.3960851524712,False
8,6,12,1557.3960851524712,False
8,6,13,1557.3960851524712,False
8,6,14,1557.3960851524712,False
8,7,5,1557.3960851524712,False
8,7,6,1557.3960851524712,False
8,7,7,1557.3960851524712,False
8,7,8,1557.3960851524712,False
8,7,9,1557.3960851524712,False
8,7,10,1557.3960851524712,False
8,7,11,1557.3960851524712,False
8,7,12,1557.3960851524712,False
8,7,13,1557.3960851524712,False
8,7,14,1557.3960851524712,False
8,8,5,1557.3960851524712,False
8,8,6,1557.3960851524712,False
8,8,7,1557.3960851524712,False
8,8,8,1557.3960851524712,False
8,8,9,1557.3960851524712,False
8,8,10,1557.3960851524712,False
8,8,11,1557.3960851524712,False
8,8,12,1557.3960851524712,False
8,8,13,1557.3960851524712,False
8,8,14,1557.3960851524712,False
8,9,5,1557.3960851524712,False
8,9,6,1557.3960851524712,False
8,9,7,1557.3960851524712,False
8,9,8,1557.3960851524712,False
8,9,9,1557.3960851524712,False
8,9,10,1557.3960851524712,False
8,9,11,1557.3960851524712,False
8,9,12,1557.3960851524712,False
8,9,13,1557.3960851524712,False
8,9,14,1557.3960851524712,False
8,10,5,1557.3960851524712,False
8,10,6,1557.3960851524712,False
8,10,7,1557.3960851524712,False
8,10,8,1557.3960851524712,False
8,10,9,1557.3960851524712,False
8,10,10,1557.3960851524712,False
8,10,11,1557.3960851524712,False
8,10,12,1557.3960851524712,False
8,10,13,1557.3960851524712,False
8,10,14,1557.3960851524712,False
9,1,5,3396.4585294198628,False
9,1,6,2846.304833031428,False
9,1,7,2854.6337380680197,False
9,1,8,4509.254417862808,False
9,1,9,2222.1913429604406,False
9,1,10,4549.090404599165,False
9,1,11,2472.696603112164,False
9,1,12,2128.448476415943,False
9,1,13,2313.608178010453,False
9,1,14,2031.2034705980686,False
9,2,5,1929.9806725711517,False
9,2,6,2325.157708891042,False
9,2,7,2025.602910485601,False
9,2,8,2014.1050311492463,False
9,2,9,1890.1118540833336,False
9,2,10,1850.1538685816074,False
9,2,11,2019.4607154176545,False
9,2,12,1646.8619421267395,False
9,2,13,1844.467369364374,False
9,2,14,1881.499487276353,False
9,3,5,1669.541561670089,False
9,3,6,1585.8910372594476,False
9,3,7,1779.2339830465728,False
9,3,8,1584.71666266866,False
9,3,9,1583.8972495495937,False
9,3,10,1571.6238059118868,False
9,3,11,1593.8191190666116,False
